city,hex,auc_flood
barcelona,88394461cbfffff,0.0
barcelona,88394460a5fffff,0.0
barcelona,88394460adfffff,0.0
barcelona,88394460e7fffff,0.0
barcelona,88394460a9fffff,0.0
barcelona,88394461dbfffff,0.0
barcelona,8839446ad1fffff,8.822009185714332
barcelona,8839446ad9fffff,7.487529410811621
barcelona,88394460e5fffff,0.0
barcelona,8839446033fffff,0.0
barcelona,88394460edfffff,0.0
barcelona,883944603bfffff,5.21540641784668e-08
barcelona,8839446037fffff,0.0
barcelona,88394461d9fffff,0.0
barcelona,88394461ddfffff,0.0
barcelona,88394461d1fffff,0.0
barcelona,8839446027fffff,0.0
barcelona,8839446023fffff,0.0
barcelona,883944603dfffff,0.0
barcelona,883944602bfffff,0.0
barcelona,8839446031fffff,0.0
barcelona,8839446039fffff,0.0
barcelona,8839446001fffff,0.0
barcelona,8839446003fffff,0.0
barcelona,8839446035fffff,3.687849244703228e-08
barcelona,8839446017fffff,0.0
barcelona,88394460e1fffff,0.0
barcelona,88394460ebfffff,0.0
barcelona,88394460e9fffff,0.0
barcelona,8839446019fffff,3.687849244703228e-08
barcelona,8839446011fffff,0.0
barcelona,8839446013fffff,0.0
barcelona,88394460e3fffff,0.0
barcelona,88394460c5fffff,0.0
barcelona,8839446015fffff,0.0
barcelona,88394460c1fffff,0.0
barcelona,88394460cbfffff,0.0
barcelona,88394460cdfffff,0.0
barcelona,8839446137fffff,1.5098579819522375
barcelona,8839446addfffff,0.0
barcelona,88394461e3fffff,0.0
barcelona,88394461d5fffff,0.0
barcelona,88394461d7fffff,0.0
barcelona,883944608dfffff,0.0
barcelona,8839446085fffff,0.0
barcelona,8839446081fffff,0.0
barcelona,883944608bfffff,0.0
barcelona,8839446089fffff,0.0
barcelona,88394460c3fffff,0.0
barcelona,88394460ddfffff,0.0
barcelona,88394460d5fffff,0.0
barcelona,88394460c9fffff,0.0
barcelona,883944601bfffff,3.687849244703228e-08
barcelona,883944601dfffff,0.0
barcelona,8839446057fffff,0.0
barcelona,883944600bfffff,0.0
barcelona,8839446055fffff,0.0
barcelona,8839446051fffff,0.0
barcelona,8839446053fffff,0.0
barcelona,883944605bfffff,0.0
barcelona,88394462adfffff,0.0
barcelona,88394462e7fffff,0.0
barcelona,88394462a7fffff,0.0
