model,term,coef,z
OLS_FE,CONSTANT,9.364360941982454,7.581648787112184
OLS_FE,intersection_density,0.02033239337185222,0.3555490759477481
OLS_FE,circuity,-7.38665711469716,-8.461641808014456
OLS_FE,orientation_entropy,1.845022701625851,10.965657373950362
OLS_FE,mean_street_length,-0.050475230115679004,-11.275279607331807
OLS_FE,greenspace_fragmentation,-3.747575188976936e-07,-0.27300544384326
SpatialError,CONSTANT,5.913329721906166,4.7121841766161126
SpatialError,intersection_density,-0.08380064548894062,-1.5359014399553619
SpatialError,circuity,-4.228011217408604,-5.219568524459054
SpatialError,orientation_entropy,1.7822272888125354,10.067192124067281
SpatialError,mean_street_length,-0.03266831782530266,-7.520852933176587
SpatialError,greenspace_fragmentation,-8.10206915697166e-07,-0.6804147013606383
SpatialError,lambda,0.5277975401354537,
SpatialLag,CONSTANT,5.57064597443468,5.064179964380197
SpatialLag,intersection_density,-0.06352890420355092,-1.248958774154499
SpatialLag,circuity,-5.155665717211292,-6.635836563352418
SpatialLag,orientation_entropy,1.4539057821522847,9.643248395948506
SpatialLag,mean_street_length,-0.03496977686029827,-8.756388222140806
SpatialLag,greenspace_fragmentation,-4.877832259283568e-07,-0.39968989148390166
SpatialLag,rho,0.5133833292648649,
